trials.thisTrialN,trials.stepSize,trials.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,key_resp.corr,tilt,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
91,0.5,2.0,136.3257547999965,136.82619349999004,136.82619349999004,136.82619349999004,137.1275592999882,left,1,-2.0,1,0.6571264999802224,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
92,0.5,1.5,137.5102043999941,137.99422669998603,137.99422669998603,138.01069529997767,138.2945456999878,right,1,1.5,1,0.8142528999887872,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
93,0.5,1.5,138.8289220999868,139.32915789997787,139.32915789997787,139.32915789997787,139.6295201999892,left,1,-1.5,1,0.6356237000145484,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
94,0.5,1.5,139.99650879998808,140.48015299998224,140.48015299998224,140.49702739997883,140.78076339999097,left,1,-1.5,1,0.6339486000069883,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
95,0.5,1.0,141.13061269998434,141.631525099976,141.631525099976,141.631525099976,141.93180039999424,left,1,-1.0,1,0.6791182000015397,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
96,0.5,1.0,142.3322257999971,142.81612569998833,142.81612569998833,142.83308909999323,143.11664100000053,left,1,-1.0,1,0.7299767000076827,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
97,0.5,1.0,143.5671655999904,144.0510787999956,144.0510787999956,144.06732409997494,144.3512297999987,left,1,-1.0,1,0.7347174000169616,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
98,0.5,1.0,144.80196899999282,145.3022146000003,145.3022146000003,145.3022146000003,145.60266839998076,right,0,1.0,0,0.7953540000016801,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
99,0.5,1.5,146.11984839997604,146.62033819998032,146.62033819998032,146.62033819998032,146.920847100002,left,1,-1.5,1,0.77806340000825,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
100,0.5,1.5,147.42110259999754,147.92217389997677,147.92217389997677,147.92217389997677,148.22199659998296,left,1,-1.5,1,0.9891950000019278,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
101,0.5,1.5,148.93949779999093,149.42331769998418,149.42331769998418,149.43996659998083,149.72401989999344,right,1,1.5,1,1.0691037999931723,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
102,0.5,1.0,150.52465519998805,151.0085384999984,151.0085384999984,151.02519819998997,151.30847229997744,right,1,1.0,1,0.7503063999756705,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
103,0.5,1.0,151.77599609998288,152.27666659999522,152.27666659999522,152.27666659999522,152.577011699992,left,1,-1.0,1,0.7682956000207923,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
104,0.5,1.0,153.0772478999861,153.5613121999777,153.5613121999777,153.5780553999939,153.86135639998247,left,1,-1.0,1,0.6286340999940876,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
105,0.5,1.0,154.21198439999716,154.69589549998636,154.69589549998636,154.71290339998086,154.99620819999836,right,1,1.0,1,0.7605365000199527,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
106,0.5,1.0,155.48014679999324,155.9651034999988,155.9651034999988,155.98047929999302,156.2644672000024,left,1,-1.0,1,0.7167882000212558,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
107,0.5,1.0,156.69820699997945,157.1986357999849,157.1986357999849,157.1986357999849,157.49888569998438,left,1,-1.0,1,0.830382499989355,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
108,0.5,1.0,158.0498254999984,158.53356109999004,158.53356109999004,158.5500070999842,158.83408429997507,left,1,-1.0,1,0.9152504999947269,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
109,0.5,1.0,159.4678371999762,159.95177689997945,159.95177689997945,159.9681711999874,160.25197039998602,right,1,1.0,1,0.8793353000073694,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
110,0.5,1.0,160.85259569998016,161.33679319999646,161.33679319999646,161.3536775999819,161.63717549998546,right,1,1.0,1,0.6545742999878712,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
111,0.5,1.0,162.02069529998698,162.52101279998897,162.52101279998897,162.52101279998897,162.8212291999953,left,1,-1.0,1,0.6410420000029262,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
112,0.5,1.0,163.1886939999822,163.67232719997992,163.67232719997992,163.68938699999126,163.97308060000069,left,1,-1.0,1,0.6691782000125386,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
113,0.5,1.0,164.37252249999437,164.8728631999984,164.8728631999984,164.8728631999984,165.17426780000096,right,0,1.0,0,0.9205595999956131,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
114,0.5,1.5,165.82488449997618,166.30863210000098,166.30863210000098,166.3251861000026,166.60891999999876,left,1,-1.5,1,0.6860383000166621,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
115,0.5,1.5,167.02599349999218,167.52682209998602,167.52682209998602,167.52682209998602,167.82706019998295,right,1,1.5,1,0.7037635000015143,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
116,0.5,1.5,168.26088439999148,168.74471569998423,168.74471569998423,168.76148289997946,169.0454633999907,left,1,-1.5,1,0.6461343999835663,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
117,0.5,1.0,169.4122487999848,169.89605159999337,169.89605159999337,169.9130223999964,170.19649399997434,left,1,-1.0,1,0.6346455999882892,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
118,0.5,1.0,170.56318369999644,171.0470984999847,171.0470984999847,171.0640018999984,171.34723489999305,right,0,1.0,0,0.6891630000027362,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
119,0.5,1.5,171.7643372999737,172.24852389999432,172.24852389999432,172.2652567999903,172.5488842999912,right,1,1.5,1,0.7492828000104055,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
120,0.5,1.5,173.015706199978,173.51681789997383,173.51681789997383,173.51681789997383,173.8172166000004,left,1,-1.5,1,0.46064239999395795,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
121,0.5,1.5,174.00108219997492,174.48406899999827,174.48406899999827,174.50094959998387,174.78504930000054,right,1,1.5,1,0.6941900000092573,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
122,0.5,1.0,175.20164519999526,175.7027640999877,175.7027640999877,175.7027640999877,176.00274879997596,left,1,-1.0,1,0.6260651999909896,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
123,0.5,1.0,176.3531820999924,176.85339209999074,176.85339209999074,176.85339209999074,177.15390609999304,right,0,1.0,0,0.7153349999862257,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
124,0.5,1.5,177.58784969997942,178.08824589999858,178.08824589999858,178.08824589999858,178.38856120000128,left,1,-1.5,1,0.6268099000153597,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
125,0.5,1.5,178.73898969998118,179.23976979998406,179.23976979998406,179.23976979998406,179.53975309999078,right,1,1.5,1,0.8104429999948479,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
126,0.5,1.5,180.074071799987,180.55770639999537,180.55770639999537,180.57459789997665,180.8580101999978,right,0,1.5,0,0.8345775000052527,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
127,0.5,2.0,181.40885300000082,181.90895489999093,181.90895489999093,181.90895489999093,182.20947659999365,left,1,-2.0,1,0.6834111999778543,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
128,0.5,2.0,182.610039399995,183.11061459998018,183.11061459998018,183.11061459998018,183.4107874999754,right,1,2.0,1,0.6568819000094663,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
129,0.5,2.0,183.79464859998552,184.2953342999972,184.2953342999972,184.2953342999972,184.5953615999897,right,1,2.0,1,0.5939523999986704,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
